"Pair_ID","Claim","Retrieved_Chunk","Expert_Entailment_Score","Annotator_Notes"
"Pair_30","Wearing simple masks was highly effective at reducing the transmission of severe acute respiratory syndrome (SARS), including SARS-CoV-2.","block particles under 39 controlled conditions. 40 reviews on the use of masks in both healthcare and non - healthcare settings to reduce transmission 41 of other respiratory diseases mostly show a protective effect. a systematic review and meta - 42 analysis of interventions against respiratory viruses found that wearing simple masks was highly 43 effective at reducing transmission of severe acute respiratory syndrome ( sars ) in five case 44 control studies ( jefferson et al. 2008 ). in contrast, a review of 10 randomized controlled trials of 45 mask wearing in non - healthcare settings concluded that there was not a substantial effect on 46 influenza transmission in terms of risk ratio, although most of the studies were underpowered and 47 methods 109 we tested nine materials that were fashioned into masks, one surgical mask, and one face shield, 111 shown in figure 1. to make the masks, we cut materials into 15. 5 cm × 10 cm rectangles and 112 securely taped them to a frame tailored from a surgical mask, except for two designs that followed 113 instructions from the us centers for disease control and prevention ( cdc ). these included a 114 sewn mask made of two layers of a 200 - thread count cotton pillowcase and a non - sewn mask cut 115 from a cotton t - shirt","0","The chunk supports effectiveness for SARS but does not mention SARS-CoV-2, making the claim overgeneralized."
"Pair_31","Selective cytokine blockade is used to treat hospitalized COVID-19 patients.","respiratory failure, and patients generally receive supportive management in 40 clinic practice. 17 however, there is still no well - accepted effective treatment for covid - 19. the development of novel therapeutics has been 41 mainly focused on antivirals 19, 20 and vaccines. 11 in addition, the cytokine storm is increasingly being recognized as a key node for the patients 42 deteriorating to severe covid - 19. 3, 11, 17 therefore, anti - inflammatory therapy has been considered as one of appropriate clinical adjuvant 43 5 treatment options, and the treatments include steroids ( e. g., prednisone ), 21 selective cytokine blockade ( e. g., tocilizumab ), 11 jak inhibition ( e. g., baricitinib ), 22 intravenous immunoglobulin, chinese medicines and blood purification. 11, 21 early in feb, 2020, 75 of 99 covid - 19 patients received antiviral treatment including oseltamivir. 23 besides, oseltamivir is noted to have 46 been widely used for confirmed or suspected covid - 19 cases in hospitals in china 24 and thail","1","The chunk explicitly states that 10.5% of deaths were patients with cardiovascular disease, directly supporting the claim."
"Pair_32","Serological methods like enzyme-linked immunosorbent assay (ELISA) and lateral flow immunochromatography test can be used to monitor immunity to infection.","and inappropriate sample. [ 19 ] [ 20 ] [ 21 ] moreover, this can test only one sample per run. serological methods like enzyme - linked immunosorbent assay ( elisa ) and lateral flow immunochromatography test that detect antibodies can be used to monitor immunity to infection and disease progression. [ 22 ] although negative sars - cov - 2 antibody results does not rule out covid - 19, serological assays will help in assessing previous exposure to sars - cov - 2 in a population and therefore have a potential use in understanding the epidemiology of covid - 19. currently available serological assays can detect igm, igg, or iga antibodies to spike ( s ) or nucleocapsid ( n ) protein. [ 23 ] [ 24 ] [ 25 ] however, potential cross reactivity of sars - cov - 2 antibodies with antibodies generated against other coronaviruses is a challenge in developing accurate serological test for covid - 19. [ 26 ] among other biosensing technologies, magnetic biosensors have attracted special attention in the past 20 years. both surface - based and volume - based magnetic biosensors","1","The chunk explicitly states ELISA and lateral flow tests can be used to monitor immunity and disease progression, directly supporting the claim."
"Pair_33","Clinically, long COVID is characterized by muscle pain.","good at detecting covid - 19, but are of limited accuracy for excluding the virus with false negatives rates of between 30 and 50 % ( alhazzani et al. 2020 ). clinically, this means the test is very useful in detecting patients with covid - 19, however due to the poor sensitivity in those who test negative, certain precautions may still be needed, such as'full'ppe during surgery i. e. water repellent, long sleeved surgical gowns, eye and face protection, gloves and filtering face piece covid - 19 related patient care. it is also essential that there is adequate critical care capacity for high - risk elective patients before routine surgery is recommenced. it is imperative that separate pathways are in place for both elective and non - elective patients, as well as covid positive and negative patients, to protect both patients and staff. this may involve utilising separate floors, buildings or even hospitals and should specifically include separate theatres, recovery areas and ward facilities as well as separate staff groups. "" covid free "" staff should be screened daily using an appropriate questionnaire as well as undergoing rapid pcr antigen testing if symptomatic. regular","0","The chunk contains no mention of long COVID or muscle pain."
"Pair_34","Pulmonary pathology related to pneumonia has been observed in fatal COVID-19 cases","abstract - coronavirus disease 2019 ( covid - 19 ) is an infectious disease with first symptoms similar to the flu. covid - 19 appeared first in china and very quickly spreads to the rest of the world, causing then the 2019 - 20 coronavirus pandemic. in many cases, this disease causes pneumonia. since pulmonary infections can be observed through radiography images, this paper investigates deep learning methods for automatically analyzing query chest x - ray images with the hope to bring precision tools to health professionals towards screening the covid - 19 and diagnosing confirmed patients. in this context, training datasets, deep learning architectures and analysis strategies have been experimented from publicly open sets of chest x - ray images. tailored deep learning models are proposed to detect pneumonia infection cases, notably viral cases. it is assumed that viral pneumonia cases detected during an epidemic covid - 19 context have a high probability to presume covid - 19 infections. moreover, easyto - apply health indicators are proposed for estimating infection status and predicting patient status from the detected pneumonia cases. experimental results show possibilities of training deep learning models over publicly open sets of chest x - ray images towards screening viral pneumonia. chest x - ray test images of covid - 19","0","The chunk discusses pneumonia in COVID-19 generally but does not specifically refer to fatal cases or pulmonary pathology observations in those cases."
"Pair_35","These mutations may impact the virus's evolution.","been observed for sars - cov - 2 infection ( as estimated from public genome sequences released since december 2019 ), might ultimately limit the mutagenic variability of the virus over a short period of time. therefore, recombination might prove to be a prominent driving factor in the evolution and the expansion of species range and cellular tropism. recent studies reported the detection of a bat - cov rmyn02 strain ( gisaid id : epi _ isl _ 412977 ) containing insertions in the s 1 / s 2 cleavage site ( 13 ) and the detection of two human sars - cov - 2 variants ( sars - cov - 2 variants 1 and 2 ) ( 14 ) showing deletion mutations in the furin - like cleavage site and its flanking sites. more recent study reported three human variants ( referred here as sars - cov - 2 _ mut1, sars - cov - 2 _ mut2, and sars - cov - 2 _ mut3 ) showing deletions at the s 1 / s 2 junction ( 15 ). the detection of the human variants, in vivo and / or in vitro","1","The chunk discusses mutations and recombination as driving factors in viral evolution, supporting the claim that mutations may impact evolution."
"Pair_36","Mask wearing is an NPI.","since december 2019, a coronavirus disease ( covid - 19 ) has been spreading in china and now emerging as a global pandemic. in response to the covid - 19 crisis, many countries have ordered unprecedented non - pharmaceutical interventions ( npis ), including travel restriction, mask wearing, lockdown, social distancing, school closure, and centralized quarantine ( such as cabin hospitals ), all aiming to reduce the population contact rates and thus mitigate the virus transmission. on the other hand, prolonged npis have a large downside impact on the overall economic and social well - being, which may cause major concerns including increased unemployment rates and bankruptcy of firms. therefore, it is of the utmost importance to investigate which interventions and to what extend have substantial impact on controlling the epidemiological dynamics, and how to choose the appropriate measures to fit country - specific socioeconomic circumstance. understanding the impact of various npis on a global scale can provide insights for each country to choose the most cost - effective npis in a timely manner to contain and mitigate the virus spread. a number of recent works studied the government intervention effects. [ 44 ] applied the bass susceptible - infected - recovered ( bass","1","The chunk explicitly lists mask wearing as a non-pharmaceutical intervention (NPI), directly supporting the claim."
"Pair_37","Intrauterine growth restriction (IUGR) occurs in 40% of affected pregnancies associated with acute and chronic placental insufficiency due to SARS-CoV-2 infection.","the impact of covid - 19 on maternal and neonatal morbidity and mortality. verma and colleagues reviewed placental pathology associated with sars or mers infection. 2 placentas from these coronavirus viruses show acute and chronic placental insufficiency and associated with intrauterine growth restriction ( iugr ) or miscarriage in 40 % of affected pregnancies. [ 18 ] [ 19 ] [ 20 ] however, the key issue again lies in the need for studies with a control group. a case in point is our study, which demonstrated almost half of the cases in the study group demonstrated features of maternal or fetal vascular malperfusion ; however, there was no statistically significant difference in the study group when compared with the control group. third trimester placentas from sars - cov - 2 - positive women do not express specific pathology or pathological pattern. while they harbor a relatively high prevalence of features of maternal or fetal vascular malperfusion, these features were not unique as they were also present in women who had a clinical indication for sars - cov - 19 testing with test - negative results. pregnancy complicated with covid - 19 during the 3 rd trim","-1","The chunk attributes IUGR/miscarriage (40%) to SARS/MERS, not SARS-CoV-2, and explicitly notes lack of specific pathology for SARS-CoV-2—contradicting the claim."
"Pair_38","Olfactory dysfunction could be of clinical significance for risk-assessment and diagnosis.","positive word represents an adverse reaction to a drug ( table 3 ). the covid - 19 pandemic evolved in a global climate of confusion and uncertainty. the professional and lay public alike speculated on disease course, severity, and symptoms. the covid - 19 symptoms first observed appeared to be largely nonspecific to covid - 19 ( e. g., cough, fever ). finding covid - specific symptoms ( such as the sudden loss of the sense of smell ) is important and potentially of clinical significance as large populations are being risk - assessed ( wu and mcgoogan, 2020 ). the "" digital exhaust "" of social media encodes in - formal case reports of symptoms and discussions of media content about the virus alike. in principle, it could allow for the generation of a "" master list "" of covid - 19 symptom candidates, which the public health and medical community can, in turn, consider for further evaluation as covid - specific markers ( chan et al., 2020 ). in this study, we present an iterative learning approach to generate such a "" master "" list of covid - 19 symptoms, using the identification of words matching a specific symptom context. our approach is intended to work","1","The chunk states that loss of smell is potentially of clinical significance for risk assessment and diagnosis, supporting the claim via olfactory dysfunction."
"Pair_39","The COVID-19 pandemic has had a significant impact on routine cancer screening.","the covid - 19 pandemic continues to have a devastating effect on the health and well - being of the global population, caused by the infection of individuals by the severe acute respiratory syndrome coronavirus 2 ( sars - cov - 2 ). a critical step in the fight against covid - 19 is effective screening of infected patients, such that those infected can receive immediate treatment and care, as well as be isolated to mitigate the spread of the virus. the main screening method used for detecting covid - 19 cases is reverse transcriptase - polymerase chain reaction ( rt - pcr ) [ 14 ] testing, which can detect sars - cov - 2 rna from respiratory specimens ( collected through a variety of means such as nasopharyngeal or oropharyngeal swabs ). while rt - pcr testing is the gold standard as it is highly specific, it is a very time - consuming, laborious, and complicated manual process that is in short supply. an alternative screening method that has also been utilized for covid - 19 screening has been radiography examination, where chest radiography imaging ( e. g., chest xray ( cxr ) or computed to","0","The chunk does not mention cancer screening or its disruption, so the claim is unsupported."
"Pair_40","Mucus has bactericidal properties","impact of obesity on the severity of covid - 19. although most studies employed multivariate analysis to adjust the impact of obesity - related diseases ( i. e., diabetes, hypertension and cvd ) on the severity of covid - 19, making the role of obesity independent, we should not neglect the equal importance impact of obesity - related diseases due to the long - term accumulating effects on patients'physiology and psychology 57. among the 44, 672 confirmed covid - 19 cases in china, the case fatality rate ( cfr ) was 2. 3 %, and 7. 3 % of the deaths ( 1, 023 ) were patients with diabetes, 10. 5 % were patients with cardiovascular disease, and 6. 0 % were patients with hypertension 58. this suggests that we should give attention not only to the obesity, but also to the impact of obesity - related diseases on covid - 19. obesity would likely increase the severity of covid - 19 since sars - cov - 2 is transmitted by droplets or contact. the first line of defense ( skin and nasal mucosa ) and the second line of defense ( bacteric","0","The chunk is truncated (“second line of defense (bacteric…)”) and does not explicitly state mucus or its bactericidal properties."
"Pair_41","The virus collects in municipal wastewater channels after excretion in feces.","detect whether the transmission is increasing or declining. wastewater testing could have many benefits with regards to the detection of covid - 19 as it is cost - effective to survey the dynamics of communities. other forms of epidemiological indicator biases are effectively avoided and it enables the collection of data even from people who don't have access to healthcare. after excretion in feces, the virus collects in municipal wastewater channels. monitoring of this wastewater at treatment plants can be achieved by detecting viral rna. in most research works related to healthcare and medicine animals are very essential segment of the cycle, especially in zoonotic viruses such as sars - cov - 2. however, thorough testing on animals has not been performed yet ; only a few species ( such as ferrets, dogs, birds, cats, hamsters and minks ) have shown to be susceptible to the virus. preliminary research has shown high interspecies transmission rates in ferrets, cats, and golden hamsters, but significantly lower rates in dogs. furthermore, animals such as ducks, chickens, mice and pigs do not seem to be able to contract or transmit the virus [ 3 ]. further experiments can be performed in these species to","1","The chunk explicitly states that after excretion in feces, the virus collects in municipal wastewater channels."
"Pair_42","COVID-19 causes pneumonia","abstract - coronavirus disease 2019 ( covid - 19 ) is an infectious disease with first symptoms similar to the flu. covid - 19 appeared first in china and very quickly spreads to the rest of the world, causing then the 2019 - 20 coronavirus pandemic. in many cases, this disease causes pneumonia. since pulmonary infections can be observed through radiography images, this paper investigates deep learning methods for automatically analyzing query chest x - ray images with the hope to bring precision tools to health professionals towards screening the covid - 19 and diagnosing confirmed patients. in this context, training datasets, deep learning architectures and analysis strategies have been experimented from publicly open sets of chest x - ray images. tailored deep learning models are proposed to detect pneumonia infection cases, notably viral cases. it is assumed that viral pneumonia cases detected during an epidemic covid - 19 context have a high probability to presume covid - 19 infections. moreover, easyto - apply health indicators are proposed for estimating infection status and predicting patient status from the detected pneumonia cases. experimental results show possibilities of training deep learning models over publicly open sets of chest x - ray images towards screening viral pneumonia. chest x - ray test images of covid - 19","1","The chunk explicitly states “in many cases, this disease causes pneumonia,” directly supporting the claim."
"Pair_43","The sudden loss of the sense of smell is a potentially COVID-19 specific symptom.","positive word represents an adverse reaction to a drug ( table 3 ). the covid - 19 pandemic evolved in a global climate of confusion and uncertainty. the professional and lay public alike speculated on disease course, severity, and symptoms. the covid - 19 symptoms first observed appeared to be largely nonspecific to covid - 19 ( e. g., cough, fever ). finding covid - specific symptoms ( such as the sudden loss of the sense of smell ) is important and potentially of clinical significance as large populations are being risk - assessed ( wu and mcgoogan, 2020 ). the "" digital exhaust "" of social media encodes in - formal case reports of symptoms and discussions of media content about the virus alike. in principle, it could allow for the generation of a "" master list "" of covid - 19 symptom candidates, which the public health and medical community can, in turn, consider for further evaluation as covid - specific markers ( chan et al., 2020 ). in this study, we present an iterative learning approach to generate such a "" master "" list of covid - 19 symptoms, using the identification of words matching a specific symptom context. our approach is intended to work","1","The chunk explicitly mentions “sudden loss of the sense of smell” as a COVID-specific symptom candidate with clinical significance."
"Pair_44","Centralized quarantine is an NPI.","since december 2019, a coronavirus disease ( covid - 19 ) has been spreading in china and now emerging as a global pandemic. in response to the covid - 19 crisis, many countries have ordered unprecedented non - pharmaceutical interventions ( npis ), including travel restriction, mask wearing, lockdown, social distancing, school closure, and centralized quarantine ( such as cabin hospitals ), all aiming to reduce the population contact rates and thus mitigate the virus transmission. on the other hand, prolonged npis have a large downside impact on the overall economic and social well - being, which may cause major concerns including increased unemployment rates and bankruptcy of firms. therefore, it is of the utmost importance to investigate which interventions and to what extend have substantial impact on controlling the epidemiological dynamics, and how to choose the appropriate measures to fit country - specific socioeconomic circumstance. understanding the impact of various npis on a global scale can provide insights for each country to choose the most cost - effective npis in a timely manner to contain and mitigate the virus spread. a number of recent works studied the government intervention effects. [ 44 ] applied the bass susceptible - infected - recovered ( bass","1","The chunk explicitly lists “centralized quarantine” as a non-pharmaceutical intervention (NPI)."
"Pair_45","Clinically, long COVID is characterized by cognitive impairment.","good at detecting covid - 19, but are of limited accuracy for excluding the virus with false negatives rates of between 30 and 50 % ( alhazzani et al. 2020 ). clinically, this means the test is very useful in detecting patients with covid - 19, however due to the poor sensitivity in those who test negative, certain precautions may still be needed, such as'full'ppe during surgery i. e. water repellent, long sleeved surgical gowns, eye and face protection, gloves and filtering face piece covid - 19 related patient care. it is also essential that there is adequate critical care capacity for high - risk elective patients before routine surgery is recommenced. it is imperative that separate pathways are in place for both elective and non - elective patients, as well as covid positive and negative patients, to protect both patients and staff. this may involve utilising separate floors, buildings or even hospitals and should specifically include separate theatres, recovery areas and ward facilities as well as separate staff groups. "" covid free "" staff should be screened daily using an appropriate questionnaire as well as undergoing rapid pcr antigen testing if symptomatic. regular","0","The chunk contains no mention of long COVID or cognitive impairment."
"Pair_46","These mutations may impact the expansion of species range.","been observed for sars - cov - 2 infection ( as estimated from public genome sequences released since december 2019 ), might ultimately limit the mutagenic variability of the virus over a short period of time. therefore, recombination might prove to be a prominent driving factor in the evolution and the expansion of species range and cellular tropism. recent studies reported the detection of a bat - cov rmyn02 strain ( gisaid id : epi _ isl _ 412977 ) containing insertions in the s 1 / s 2 cleavage site ( 13 ) and the detection of two human sars - cov - 2 variants ( sars - cov - 2 variants 1 and 2 ) ( 14 ) showing deletion mutations in the furin - like cleavage site and its flanking sites. more recent study reported three human variants ( referred here as sars - cov - 2 _ mut1, sars - cov - 2 _ mut2, and sars - cov - 2 _ mut3 ) showing deletions at the s 1 / s 2 junction ( 15 ). the detection of the human variants, in vivo and / or in vitro","1","The chunk links recombination/mutations to “expansion of species range and cellular tropism,” supporting the claim."
"Pair_47","Baricitinib is an example of JAK inhibition used to treat hospitalized COVID-19 patients.","respiratory failure, and patients generally receive supportive management in 40 clinic practice. 17 however, there is still no well - accepted effective treatment for covid - 19. the development of novel therapeutics has been 41 mainly focused on antivirals 19, 20 and vaccines. 11 in addition, the cytokine storm is increasingly being recognized as a key node for the patients 42 deteriorating to severe covid - 19. 3, 11, 17 therefore, anti - inflammatory therapy has been considered as one of appropriate clinical adjuvant 43 5 treatment options, and the treatments include steroids ( e. g., prednisone ), 21 selective cytokine blockade ( e. g., tocilizumab ), 11 jak inhibition ( e. g., baricitinib ), 22 intravenous immunoglobulin, chinese medicines and blood purification. 11, 21 early in feb, 2020, 75 of 99 covid - 19 patients received antiviral treatment including oseltamivir. 23 besides, oseltamivir is noted to have 46 been widely used for confirmed or suspected covid - 19 cases in hospitals in china 24 and thail","1","The chunk explicitly lists JAK inhibition (e.g., baricitinib) as a treatment used in clinical settings, supporting the claim."
"Pair_48","The document discusses the rapid spreading of COVID-19 and its mitigation efforts.","the rapid spreading of covid - 19 across the world forced people to change their lives and practice mitigation efforts at a level never seen before, including social distancing, mask - wearing, quarantining and stay - at - home orders. these human actions played a key role in reducing the spreading of the virus, although such interventions often have economic consequences, lose of jobs and physiological effects. therefore, it is important to focus mitigation efforts and determine when, where and what level of intervention needs to be taken. this research provides a methodology to determine the level of active human intervention needed to provide safety against the spreading of infection while keeping mitigation efforts minimal. we use compartmental epidemiological models to describe the spreading of the infection [ 1 ], [ 2 ], and we view these models as control systems where human intervention is the control input. viewing epidemiological models as control systems has been proposed in the literature recently [ 3 ], [ 4 ], [ 5 ], and various models with varying transmission rate [ 6 ], [ 7 ], [ 8 ], [ 9 ] have appeared to quantify the level of human interventions in the case of covid - 19. in this paper, we build","1","The chunk explicitly discusses rapid spread and multiple mitigation efforts (social distancing, masks, etc.), directly supporting the claim."
"Pair_49","Cardiovascular disease increases the case fatality rate of COVID-19","impact of obesity on the severity of covid - 19. although most studies employed multivariate analysis to adjust the impact of obesity - related diseases ( i. e., diabetes, hypertension and cvd ) on the severity of covid - 19, making the role of obesity independent, we should not neglect the equal importance impact of obesity - related diseases due to the long - term accumulating effects on patients'physiology and psychology 57. among the 44, 672 confirmed covid - 19 cases in china, the case fatality rate ( cfr ) was 2. 3 %, and 7. 3 % of the deaths ( 1, 023 ) were patients with diabetes, 10. 5 % were patients with cardiovascular disease, and 6. 0 % were patients with hypertension 58. this suggests that we should give attention not only to the obesity, but also to the impact of obesity - related diseases on covid - 19. obesity would likely increase the severity of covid - 19 since sars - cov - 2 is transmitted by droplets or contact. the first line of defense ( skin and nasal mucosa ) and the second line of defense ( bacteric","0","The chunk reports percentages of deaths with cardiovascular disease but does not explicitly state it increases case fatality rate (causality vs association)."
"Pair_50","School closure is an NPI.","since december 2019, a coronavirus disease ( covid - 19 ) has been spreading in china and now emerging as a global pandemic. in response to the covid - 19 crisis, many countries have ordered unprecedented non - pharmaceutical interventions ( npis ), including travel restriction, mask wearing, lockdown, social distancing, school closure, and centralized quarantine ( such as cabin hospitals ), all aiming to reduce the population contact rates and thus mitigate the virus transmission. on the other hand, prolonged npis have a large downside impact on the overall economic and social well - being, which may cause major concerns including increased unemployment rates and bankruptcy of firms. therefore, it is of the utmost importance to investigate which interventions and to what extend have substantial impact on controlling the epidemiological dynamics, and how to choose the appropriate measures to fit country - specific socioeconomic circumstance. understanding the impact of various npis on a global scale can provide insights for each country to choose the most cost - effective npis in a timely manner to contain and mitigate the virus spread. a number of recent works studied the government intervention effects. [ 44 ] applied the bass susceptible - infected - recovered ( bass","1","The chunk explicitly lists “school closure” as an NPI, directly supporting the claim."
